group,subgroup,filename,fwhm_L,fwhm_C,fwhm_R,sharpness,flatness
test,Spotty,240906A_MnTe_0min_915.png,108.15,164.02,106.54,0.61,0.0
test,Spotty,240906A_MnTe_0min_998.png,0.0,109.01,22.06,0.92,0.0
test,Spotty,240912A_286.png,170.59,180.93,144.37,0.55,0.715
test,Spotty,240912A_361.png,189.41,158.76,158.57,0.63,0.712
test,Spotty,240912A_424.png,211.52,187.52,190.88,0.53,0.711
test,Spotty,240912A_494.png,225.81,159.73,191.32,0.63,0.71
test,Spotty,240912A_542.png,238.58,174.93,194.18,0.57,0.709
test,Spotty,240912A_604.png,244.89,178.56,212.0,0.56,0.705
test,Spotty,240912A_672.png,240.75,174.15,219.49,0.57,0.703
test,Spotty,240912A_719.png,270.47,164.51,223.54,0.61,0.636
test,Spotty,240912A_781.png,274.65,161.93,205.12,0.62,0.642
test,Spotty,240912A_844.png,197.26,275.37,0.0,0.36,0.561
test,Spotty,240912A_858.png,117.34,0.0,68.01,1000000000.0,0.446
test,Spotty,240912A_972.png,76.22,173.99,97.24,0.57,0.378
test,Spotty,240912A_998.png,133.15,0.0,102.22,1000000000.0,0.419
test,Spotty,240912B_204.png,15.33,0.0,16.08,1000000000.0,0.207
test,Spotty,240912B_327.png,18.27,0.0,26.31,1000000000.0,0.547
test,Spotty,240912B_366.png,18.07,0.0,15.61,1000000000.0,0.641
test,Spotty,240912B_480.png,355.01,0.0,0.0,1000000000.0,0.519
test,Spotty,240912B_627.png,75.96,240.93,35.05,0.42,0.322
test,Spotty,240912B_639.png,53.71,0.0,0.0,1000000000.0,0.399
test,Spotty,240912B_85.png,37.93,0.0,0.0,1000000000.0,0.524
test,Spotty,240912B_963.png,16.03,0.0,25.79,1000000000.0,0.54
test,Spotty,240912B_985.png,214.08,158.32,60.24,0.63,0.715
test,Spotty,240925B_458.png,45.64,29191.71,48.53,0.0,0.171
test,Spotty,240925B_811.png,44.7,0.0,56.89,1000000000.0,0.236
test,Spotty,240925B_998.png,0.0,0.0,42.56,1000000000.0,0.253
test,Spotty,240925B__725.png,109.13,10617.91,129.88,0.01,0.141
test,Spotty,241011A_866.png,130.02,184.23,0.0,0.54,0.495
test,Spotty,241011A_939.png,139.24,268.07,102.07,0.37,0.573
test,Spotty,241011B_722.png,187.23,345.96,0.0,0.29,0.575
test,Spotty,241011B_758.png,184.25,309.13,0.0,0.32,0.58
test,Spotty,241011B_949.png,150.93,238.5,118.21,0.42,0.571
test,Spotty,241011B__517.png,184.06,178.76,162.65,0.56,0.628
test,Spotty,241011B__596.png,179.16,195.79,155.51,0.51,0.633
test,Spotty,241011B__659.png,185.81,222.42,163.35,0.45,0.629
test,Spotty,241011B__931.png,210.41,169.91,264.36,0.59,0.396
test,Spotty,241015A_528.png,424.98,0.0,0.0,1000000000.0,0.467
test,Spotty,241015A_917.png,648.35,0.0,0.0,1000000000.0,0.099
test,Spotty,241024A_425.png,127.15,0.0,79.57,1000000000.0,0.428
test,Spotty,241024B_797.png,196.04,0.0,184.94,1000000000.0,0.466
test,Spotty,241030A_342.png,142.93,0.0,0.0,1000000000.0,0.536
test,Spotty,241030A_386.png,160.87,0.0,0.0,1000000000.0,0.514
test,Spotty,241030A_436.png,190.58,96.66,0.0,1.03,0.497
test,Spotty,241030A_471.png,269.83,70.48,0.0,1.42,0.483
test,Spotty,241030A_485.png,213.9,67.66,0.0,1.48,0.485
test,Spotty,241030A_530.png,68.53,69.39,0.0,1.44,0.484
test,Spotty,241030A_595.png,273.44,70.77,0.0,1.41,0.481
test,Spotty,241030A_634.png,255.51,71.03,0.0,1.41,0.479
test,Spotty,241030A_696.png,272.54,72.02,0.0,1.39,0.483
test,Spotty,241030A_731.png,288.11,71.76,0.0,1.39,0.484
test,Spotty,241030A_788.png,267.39,72.34,0.0,1.38,0.485
test,Spotty,241030A_832.png,302.49,74.79,0.0,1.34,0.487
test,Spotty,241030A_873.png,188.0,0.0,0.0,1000000000.0,0.537
test,Spotty,241030A_914.png,182.15,0.0,0.0,1000000000.0,0.491
test,Spotty,241030A_952.png,169.61,0.0,0.0,1000000000.0,0.477
test,Spotty,241030A_998.png,137.91,0.0,0.0,1000000000.0,0.484
test,Spotty,241031A_880.png,130.8,0.0,0.0,1000000000.0,0.445
test,Spotty,241031A_998.png,121.13,130.56,0.0,0.77,0.482
test,Spotty,250212A1.png,209.82,0.0,0.0,1000000000.0,0.389
test,Spotty,250212A1_292.png,58.79,0.0,55.96,1000000000.0,0.321
test,Spotty,250212A1_295.png,58.48,0.0,55.97,1000000000.0,0.323
test,Spotty,250212A1_998.png,97.8,0.0,62.13,1000000000.0,0.448
test,Spotty,250213A1_509.png,1147.46,215.56,0.0,0.46,0.535
test,Spotty,250213A1_833.png,264.27,0.0,86.26,1000000000.0,0.539
test,Spotty,250213A1_998.png,224.13,0.0,74.99,1000000000.0,0.526
test,Spotty,250213A2_281.png,543.75,0.0,127.4,1000000000.0,0.551
test,Spotty,250213A2_579.png,640.18,0.0,0.0,1000000000.0,0.551
test,Spotty,250213A3_45.png,193.04,0.0,47.72,1000000000.0,0.522
test,Spotty,250213A3_50.png,206.67,0.0,48.46,1000000000.0,0.52
test,Spotty,250214A1_870.png,108.96,0.0,111.26,1000000000.0,0.363
test,Spotty,250214A1_998.png,90.66,351.44,90.94,0.28,0.347
test,Spotty,250214A2_312.png,100.1,0.0,102.14,1000000000.0,0.311
test,Spotty,250214A2_669.png,63.51,160.65,61.34,0.62,0.307
test,Spotty,250214A2_958.png,77.42,0.0,79.2,1000000000.0,0.307
test,Spotty,250228B1_399.png,76.14,0.0,75.81,1000000000.0,0.0
test,Spotty,250228B1_487.png,246.87,0.0,0.0,1000000000.0,0.0
test,Spotty,250228B1_615.png,87.13,0.0,0.0,1000000000.0,0.0
test,Spotty,250228B1_799.png,153.39,125.76,0.0,0.8,0.0
